timestamp,TDS,turbidity,temperature,pH,status,cause,ph_dev,tds_temp_ratio,turbidity_x_ph,temp_sqr,tds_diff,temp_diff,ph_diff,tds_rollmean_3,ph_rollstd_3
2025-07-24T10:54:47.921Z,252.05,24.21,31.4,8.4,OPEN,None,1.400,8.027,203.364,985.96,-402.470,8.600,-3.010,306.223,1.204
2025-07-24T10:54:57.928Z,391.3,20.55,61.2,9.8,CLOSED,pH&Temperature,2.800,6.394,201.390,3745.44,139.250,29.800,1.400,305.203,1.809
2025-07-24T10:55:07.932Z,457.04,19.07,60.8,1.8,CLOSED,pH&Temperature,-5.200,7.517,34.326,3696.64,65.740,-0.400,-8.000,366.797,3.488
2025-07-24T10:55:17.946Z,379.22,22.77,31.5,5.86,CLOSED,pH,-1.140,12.039,133.432,992.25,-77.820,-29.300,4.060,409.187,3.266
2025-07-24T10:55:27.951Z,312.86,23.77,64.5,3.86,CLOSED,pH&Temperature,-3.140,4.851,91.752,4160.25,-66.360,33.000,-2.000,383.040,1.658
2025-07-24T10:55:37.955Z,426.61,22.84,35.4,3.56,CLOSED,pH,-3.440,12.051,81.310,1253.16,113.750,-29.100,-0.300,372.897,1.021
2025-07-24T10:55:47.960Z,355.12,29.71,43.3,7.97,OPEN,None,0.970,8.201,236.789,1874.89,-71.490,7.900,4.410,364.863,2.012
2025-07-24T11:19:18.846Z,505.52,73.3,97,5.31,CLOSED,pH&TDS&Turbidity&Temperature,-1.690,5.212,389.223,9409.00,-107.990,-2.800,0.000,577.513,2.503
2025-07-24T11:19:28.849Z,612.3,69.3,25.3,0,CLOSED,pH&TDS&Turbidity,-7.000,24.202,0.000,640.09,106.780,-71.700,-5.310,577.110,2.503
2025-07-24T11:19:38.855Z,383.39,44.26,33.2,5.01,CLOSED,pH&Turbidity,-1.990,11.548,221.743,1102.24,-228.910,7.900,0.000,500.403,2.436
2025-07-24T11:19:58.857Z,345.33,60.02,60,9.43,CLOSED,pH&Turbidity&Temperature,2.430,5.755,565.989,3600.00,6.080,26.200,5.470,355.990,2.370
2025-07-24T11:20:08.864Z,480.99,84.07,66.5,12.14,CLOSED,pH&Turbidity&Temperature,5.140,7.233,1020.610,4422.25,135.660,6.500,2.710,388.523,3.402
2025-07-24T11:20:18.869Z,561.8,69.85,86.4,6.11,CLOSED,pH&TDS&Turbidity&Temperature,-0.890,6.502,426.784,7464.96,80.810,19.900,-6.030,462.707,2.466
2025-07-24T11:20:28.873Z,605.6,12.89,93.6,8.74,CLOSED,pH&TDS&Temperature,1.740,6.470,112.659,8760.96,43.800,7.200,2.630,549.463,2.468
2025-07-24T11:20:36.307Z,556.46,47.51,36,6.12,CLOSED,pH&TDS&Turbidity,-0.880,15.457,290.761,1296.00,-49.140,-57.600,-2.620,574.620,1.237
2025-07-24T11:20:46.312Z,435.06,14.96,26.4,7.42,OPEN,None,0.420,16.480,111.003,696.96,-121.400,-9.600,1.300,532.373,1.070
2025-07-24T11:20:56.316Z,278.16,11.59,68.8,6.93,CLOSED,Temperature,-0.070,4.043,80.319,4733.44,-156.900,42.400,-0.490,423.227,0.536
2025-07-24T11:21:06.325Z,431.19,25.45,81.9,8.55,CLOSED,pH&Temperature,1.550,5.265,217.598,6707.61,153.030,13.100,1.620,381.470,0.678
2025-07-24T11:21:16.328Z,455.31,28.96,21.3,6.29,CLOSED,pH,-0.710,21.376,182.158,453.69,24.120,-60.600,-2.260,388.220,0.951
2025-07-24T11:21:26.333Z,331.88,18.02,41.3,13.64,CLOSED,pH,6.640,8.036,245.793,1705.69,-123.430,20.000,7.350,406.127,3.074
2025-07-24T11:21:36.337Z,391.96,68.73,38.4,7.74,CLOSED,Turbidity,0.740,10.207,531.970,1474.56,60.080,-2.900,-5.900,393.050,3.179
2025-07-24T11:21:46.350Z,493.8,11.66,21.7,7.29,OPEN,None,0.290,22.756,85.001,470.89,101.840,-16.700,-0.450,405.880,2.893
2025-07-24T11:21:56.359Z,288.86,18.51,39.6,7.23,OPEN,None,0.230,7.294,133.827,1568.16,-204.940,17.900,-0.060,391.540,0.228
2025-07-24T11:22:06.372Z,395.92,24.76,20.8,1.16,CLOSED,pH,-5.840,19.035,28.722,432.64,107.060,-18.800,-6.070,392.860,2.876
2025-07-24T11:22:16.374Z,272.75,46.58,32.3,11.4,CLOSED,pH&Turbidity,4.400,8.444,531.012,1043.29,-123.170,11.500,10.240,319.177,4.204
2025-07-24T11:22:26.375Z,421.52,19.35,64.8,12.2,CLOSED,pH&Temperature,5.200,6.505,236.070,4199.04,148.770,32.500,0.800,363.397,5.026
2025-07-24T11:22:36.379Z,408.87,66.86,34.4,8.11,CLOSED,Turbidity,1.110,11.886,542.235,1183.36,-12.650,-30.400,-4.090,367.713,1.770
2025-07-24T11:22:38.084Z,401.19,17.88,44.8,7.09,OPEN,None,0.090,8.955,126.769,2007.04,-7.680,10.400,-1.020,410.527,2.208
2025-07-24T11:22:48.086Z,340.69,30.5,21.5,7.11,CLOSED,Turbidity,0.110,15.846,216.855,462.25,-60.500,-23.300,0.020,383.583,0.476
2025-07-24T11:22:58.086Z,332.44,14.25,23.4,7.91,OPEN,None,0.910,14.207,112.718,547.56,-8.250,1.900,0.800,358.107,0.382
2025-07-24T11:23:08.090Z,296.99,57.34,40.4,7.06,CLOSED,Turbidity,0.060,7.351,404.820,1632.16,-35.450,17.000,-0.850,323.373,0.389
2025-07-24T11:23:18.095Z,453.65,16.02,75.8,7.66,CLOSED,Temperature,0.660,5.985,122.713,5745.64,156.660,35.400,0.600,361.027,0.357
2025-07-24T11:23:28.097Z,450.5,15.58,36.9,7.27,OPEN,None,0.270,12.209,113.267,1361.61,-3.150,-38.900,-0.390,400.380,0.249
2025-07-24T11:23:38.100Z,364.64,52.97,32.1,7.67,CLOSED,Turbidity,0.670,11.360,406.280,1030.41,-85.860,-4.800,0.400,422.930,0.186
2025-07-24T11:23:48.105Z,423.98,20.62,29,2.25,CLOSED,pH,-4.750,14.620,46.395,841.00,59.340,-3.100,-5.420,413.040,2.466
2025-07-24T11:23:58.105Z,296.37,26.87,66.7,9.63,CLOSED,pH&Temperature,2.630,4.443,258.758,4448.89,-127.610,37.700,7.380,361.663,3.121
2025-07-24T11:24:08.109Z,411.85,58.3,98.3,6.26,CLOSED,pH&Turbidity&Temperature,-0.740,4.190,364.958,9662.89,115.480,31.600,-3.370,377.400,3.017
2025-07-24T11:24:18.123Z,612.84,65.33,22.6,6.57,CLOSED,TDS&Turbidity,-0.430,27.117,429.218,510.76,200.990,-75.700,0.310,440.353,1.521
2025-07-24T11:24:28.127Z,362.45,13.99,66.2,11.68,CLOSED,pH&Temperature,4.680,5.475,163.403,4382.44,-250.390,43.600,5.110,462.380,2.485
2025-07-24T11:24:38.132Z,413,26.68,51.1,6.44,CLOSED,pH&Temperature,-0.560,8.082,171.819,2611.21,50.550,-15.100,-5.240,462.763,2.440
2025-07-24T11:24:44.805Z,384.16,10.03,72.1,13.25,CLOSED,pH&Temperature,6.250,5.328,132.897,5198.41,-28.840,21.000,6.810,386.537,2.912
2025-07-24T11:24:54.811Z,432.88,14.59,67.4,7.23,CLOSED,Temperature,0.230,6.423,105.486,4542.76,48.720,-4.700,-6.020,410.013,3.041
2025-07-24T11:25:04.816Z,421.32,25.21,39.4,5.95,CLOSED,pH,-1.050,10.693,150.000,1552.36,-11.560,-28.000,-1.280,412.787,3.183
2025-07-24T11:25:14.823Z,351.26,65.32,96.4,5.85,CLOSED,pH&Turbidity&Temperature,-1.150,3.644,382.122,9292.96,-70.060,57.000,-0.100,401.820,0.628
2025-07-24T11:25:24.829Z,651.95,23.98,43.1,6.79,CLOSED,TDS,-0.210,15.126,162.824,1857.61,300.690,-53.300,0.940,474.843,0.422
2025-07-24T11:25:34.832Z,332,11.23,34.4,8.02,OPEN,None,1.020,9.651,90.065,1183.36,-319.950,-8.700,1.230,445.070,0.889
2025-07-24T11:25:44.837Z,277.32,28.45,26.6,7.52,OPEN,None,0.520,10.426,213.944,707.56,-54.680,-7.800,-0.500,420.423,0.505
2025-07-24T11:25:54.848Z,288.13,18.49,28.3,0.9,CLOSED,pH,-6.100,10.181,16.641,800.89,10.810,1.700,-6.620,299.150,3.245
2025-07-24T11:26:04.850Z,294.71,19.72,82.6,11.86,CLOSED,pH&Temperature,4.860,3.568,233.879,6822.76,6.580,54.300,10.960,286.720,4.507
2025-07-24T11:26:14.854Z,500.72,21.5,73.1,5.42,CLOSED,pH&TDS&Temperature,-1.580,6.850,116.530,5343.61,206.010,-9.500,-6.440,361.187,4.497
2025-07-24T11:26:24.860Z,455.54,29.83,43.8,7.11,OPEN,None,0.110,10.400,212.091,1918.44,-45.180,-29.300,1.690,416.990,2.726
2025-07-24T11:26:34.866Z,440.98,83.93,98.3,7.16,CLOSED,Turbidity&Temperature,0.160,4.486,600.939,9662.89,-14.560,54.500,0.050,465.747,0.809
2025-07-24T11:26:44.871Z,698.39,12.02,67.7,9.31,CLOSED,pH&TDS&Temperature,2.310,10.316,111.906,4583.29,257.410,-30.600,2.150,531.637,1.026
2025-07-24T11:26:54.876Z,453.1,17.29,68.2,1.22,CLOSED,pH&Temperature,-5.780,6.644,21.094,4651.24,-245.290,0.500,-8.090,530.823,3.421
2025-07-24T11:27:04.877Z,405.43,14.8,38.5,0,CLOSED,pH,-7.000,10.531,0.000,1482.25,-47.670,-29.700,-1.220,518.973,4.131
2025-07-24T11:27:14.879Z,376.28,17.85,66.6,8.66,CLOSED,pH&Temperature,1.660,5.650,154.581,4435.56,-29.150,28.100,0.000,411.603,3.827
2025-07-24T11:27:24.885Z,417.96,29.31,45.7,10.1,CLOSED,pH&Temperature,3.100,9.146,296.031,2088.49,41.680,-20.900,1.440,399.890,4.461
2025-07-24T11:27:34.889Z,386.05,52.45,23.4,9.29,CLOSED,pH&Turbidity,2.290,16.498,487.260,547.56,-31.910,-22.300,-0.810,393.430,0.589
2025-07-24T11:27:44.904Z,379.24,15.31,29.7,8.35,OPEN,None,1.350,12.769,127.838,882.09,-6.810,6.300,-0.940,394.417,0.715
2025-07-24T11:27:54.919Z,316.37,56.56,37.2,7.92,CLOSED,Turbidity,0.920,8.505,447.955,1383.84,-62.870,7.500,-0.430,360.553,0.572
2025-07-24T11:28:04.923Z,394.02,32.1,28.3,2.54,CLOSED,pH&Turbidity,-4.460,13.923,81.534,800.89,77.650,-8.900,-5.380,363.210,2.643
2025-07-24T11:28:14.928Z,315.62,20.67,64.7,12.52,CLOSED,pH&Temperature,5.520,4.878,258.788,4186.09,-78.400,36.400,9.980,342.003,4.078
2025-07-24T11:28:24.932Z,463.4,19.3,72,5.19,CLOSED,pH&Temperature,-1.810,6.436,100.167,5184.00,147.780,7.300,-7.330,391.013,4.221
2025-07-24T11:28:34.932Z,420.22,17.79,27.3,11.91,CLOSED,pH,4.910,15.393,211.879,745.29,-43.180,-44.700,6.720,399.747,3.321
2025-07-24T11:28:44.947Z,359.12,16.84,89.4,13.14,CLOSED,pH&Temperature,6.140,4.017,221.278,7992.36,-61.100,62.100,1.230,414.247,3.494
2025-07-24T11:28:54.957Z,531.99,15.34,34.5,6.28,CLOSED,pH&TDS,-0.720,15.420,96.335,1190.25,172.870,-54.900,-6.860,437.110,2.986
2025-07-24T11:28:58.842Z,313.94,21.83,52.6,9.43,CLOSED,pH&Temperature,2.430,5.968,205.857,2766.76,-218.050,18.100,3.150,401.683,2.804
2025-07-24T11:29:08.845Z,448.88,27.7,29.5,12,CLOSED,pH,5.000,15.216,332.400,870.25,134.940,-23.100,2.570,431.603,2.339
2025-07-24T11:29:18.850Z,356.54,28.24,30.8,7.35,OPEN,None,0.350,11.576,207.564,948.64,-92.340,1.300,-4.650,373.120,1.902
2025-07-24T11:29:28.856Z,328.19,10.13,42.2,7.26,OPEN,None,0.260,7.777,73.544,1780.84,-28.350,11.400,-0.090,377.870,2.214
2025-07-24T11:29:38.862Z,356.46,29.26,27.8,7.78,OPEN,None,0.780,12.822,227.643,772.84,28.270,-14.400,0.520,347.063,0.227
2025-07-24T11:29:48.861Z,360.02,14.25,37.5,9.23,CLOSED,pH,2.230,9.601,131.528,1406.25,3.560,9.700,1.450,348.223,0.834
2025-07-24T11:29:58.865Z,372.01,29.48,20.8,0.29,CLOSED,pH,-6.710,17.885,8.549,432.64,11.990,-16.700,-8.940,362.830,3.918
2025-07-24T11:30:08.871Z,371.2,90.26,81,7.06,CLOSED,Turbidity&Temperature,0.060,4.583,637.236,6561.00,-0.810,60.200,6.770,367.743,3.807
2025-07-24T11:30:18.875Z,633.27,19.51,39.7,5.9,CLOSED,pH&TDS,-1.100,15.951,115.109,1576.09,262.070,-41.300,-1.160,458.827,2.956
2025-07-24T11:30:28.890Z,373.16,43.57,78.5,4.87,CLOSED,pH&Turbidity&Temperature,-2.130,4.754,212.186,6162.25,-260.110,38.800,-1.030,459.210,0.895
2025-07-24T11:30:38.893Z,517.41,82.1,78.3,6.48,CLOSED,pH&TDS&Turbidity&Temperature,-0.520,6.608,532.008,6130.89,144.250,-0.200,1.610,507.947,0.666
2025-07-24T11:30:48.898Z,616.82,16.04,36.8,5.88,CLOSED,pH&TDS,-1.120,16.761,94.315,1354.24,99.410,-41.500,-0.600,502.463,0.664
2025-07-24T11:30:58.907Z,302.81,20.29,93,6.65,CLOSED,Temperature,-0.350,3.256,134.929,8649.00,-314.010,56.200,0.770,479.013,0.330
2025-07-24T11:31:08.911Z,543.45,20.77,32.9,6.13,CLOSED,pH&TDS,-0.870,16.518,127.320,1082.41,240.640,-60.100,-0.520,487.693,0.321
2025-07-24T11:31:18.918Z,360.51,49.44,23.6,8.06,CLOSED,Turbidity,1.060,15.276,398.486,556.96,-182.940,-9.300,1.930,402.257,0.815
2025-07-24T11:31:28.930Z,368.14,25.68,34.5,7.78,OPEN,None,0.780,10.671,199.790,1190.25,7.630,10.900,-0.280,424.033,0.852
2025-07-24T11:31:38.933Z,336.71,81.58,83.8,7.06,CLOSED,Turbidity&Temperature,0.060,4.018,575.955,7022.44,-31.430,49.300,-0.720,355.120,0.421
